Name of Lead Agency,Agency Address - Line 1,Agency Address - Line 2,City,Zip Code,Lead Agency Website,Primary Contact Person,Lead Agency Phone Number,Lead Agency Email,Name of Program,Program Description,Number of Sites,Primary Site Address,,City,Zip Code,Primary Site Contact Person,Primary Site Phone Number,Primary Site Email Address,Area(s) of Focus,Days of Program Operation,Hours of Program Operation,Period of Operation,Eligibility Requirements,Capacity of Program,Grades Served,License Status,Fees,Transportation Provision,Does your program serve meals?,Please share any additional comments or notes
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,PS 97,1405 Sycamore St,Buffalo,14211,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,PS 54 ,2358 Main St,Buffalo,14214,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
Buffalo Soccer Club,"403 Main St., Suite 200",,Buffalo,14203,www.buffalosoccerclub.org,Anna-Lesa Calvert,7164088738,calvert@buffalosoccerclub.org,Soccer For Success,"Soccer for Success® is the U.S. Soccer Foundation’s free afterschool program that uses soccer as a tool to address children's health issues and juvenile delinquency, while promoting healthy lifestyles in urban underserved communities.  There are four componentThe U.S. Soccer Foundation has partnered with the Independent Health Foundation, Buffalo Soccer Club, and the United Way of Buffalo and Erie County to operate Soccer for Success sites – providing thousands of children in grades K-8 with free after-school programming.s of the Soccer for Success program- physical activity, nutrition, mentorship, and family engagement. ",1,Seneca Babcock Community Center,1218 Seneca St.,Buffalo,14210,Anna-Lesa Calvert,7162486234,calvert@buffalosoccerclub.org,Sports/ Recreation/ Fitness,"Monday, Tuesday, Wednesday, Thursday, Friday",,School Year,,,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Not Applicable,,We do not provide transportation,No meals provided,
The Belle Center,104 Maryland Street,,Buffalo,14201,www.thebellecenter.org,"Lucy Candelario, Executive Director",716-845-0485,lcandelario@thebellecenter.org,Belle Young Achievers,"Comprehensive Out of School Time program for Grades K-8. Includes morning drop off and school bus service, homework assistance, literacy and academic enrichment.  Frequent Field Trips are included as is technology literacy.  ",At The Belle Center only.,104 Maryland Street,,Buffalo,14201,"Lucy Candelario, Executive Director",716-845-0485,lcandelario@thebellecenter.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",Afternoon program is 2:30 - 6:00 pm.,"School Year, Summer, School Breaks","K-8 grades, Daycare also available ages 6 weeks to 5.",120,"Day care age, Pre-K, Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, Older Youth/ Out of School","School-Aged Child Care (SACC), Day Care","Daycare fees vary by attendance hours. For Summer 2014, the Summer Camp fee is $140 per week.  Parents should talk to us about the fees. ",We do not provide transportation,"Breakfast, Dinner, Snack",We also have recreational and educational program for ages 14 - 21 from 6:00 - 9:00 pm that includes out of school youth. 
Native American Community Services,1005 Grant St.,,Buffalo,14207,www.nacswny.org,Michael Martin,716.874.4460,mmartin@nacswny.org,EXCELL Afterschool ,"The Enhancing eXcellent Choices Educating Lifelong Learning (EXCELL) after school program offers academic (homework assistance, Common Core skill building) and non-academic supports (family empowerment) to students of the Native American Magnet School through a 21st Century Community Learning Center initiative.  Program operates year round, is free of charge and can accommodate 220 students in 5th - 8th grade.    ",1,NAMS,97 W. Delevan Ave.,Buffalo,14213,Amy Huff,716.816.3176,ahuff@nacswny.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Computers/ Technology, English Language Learners (ELL), Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday",2:20 - 5:30 Monday - Thursday,"School Year, Summer",NAMS Student,220,"5th, 6th, 7th, 8th",School-Aged Child Care (SACC),n/a,BPS home transportation,Dinner,
UB Center for Urban Studies,3435 Main St.,,Buffalo,14214,http://www.centerforurbanstudies.com/,Gavin Luter,7162895912,gavinl@buffalo.edu,Community as Classroom ,"The idea behind this program is show students how to apply the knowledge they are learning in the classroom to improving conditions in the community and to see learning as a way of gaining control over their lives.  This is accomplished by participating in four programs that connects classroom learning to improving the Fruit Belt neighborhood and learning how to engage in planning and neighborhood development activities: (1) Public Art, (2) Community Heritage, (3) Urban Gardening and Clean-A-Thon, and (4) Futures Cities.",1,295 Carlton St,,Buffalo,14214,Gavin Luter,7162895912,gavinl@buffalo.edu,"Community Service/ Service Learning, Leadership/ Mentorship, Urban Planning","Monday, Tuesday, Wednesday, Thursday, Friday","Varied, depending on the year.  ",School Year,,80,"5th, 6th, 7th, 8th",Not Applicable,There are no fees to participate in this program.,We do not provide transportation,No meals provided,This is an in-school enrichment program.
UB Center for Urban Studies,3435 Main St.,,Buffalo,14214,www.centerforurbanstudies.com,Gavin Luter,7162895912,gavinl@buffalo.edu,UB Summer Academic Camp on Neighborhood Development,"The Summer Academic Camp on Neighborhood Development is a problem-based and project-centered learning program. It seeks to reinforce skills in reading, writing, research, computer use, critical thinking, team work and problem solving by having students work on real world projects during an intensive six-week summer program. ",1,3435 Main St.,,Buffalo,14214,Gavin Luter,7162895912,gavinl@buffalo.edu,"Community Service/ Service Learning, Leadership/ Mentorship, Urban Planning","Monday, Tuesday, Wednesday, Thursday, Friday","Monday - Friday, 9:00 AM - 3:00 PM",Summer,,24,"6th, 7th, 8th",Not Applicable,There are no fees to participate in this program.,We do not provide transportation,Lunch,
Buffalo Prep,18 Acheson Annex,University at Buffalo,Buffalo,14214,www.buffaloprep.com,Grace O'Connor,716-829-3605,gdo2@buffalo.edu,Buffalo Prep,"Buffalo Prep provides academic enrichment programs for promising economically disadvantaged underrepresented students to prepare them for and help them get into college preparatory high schools and higher education.  Students are eligible to apply during their 5th, 6th, or 7th grade year.  Our courses, outstanding instruction, and the camaraderie of learning with other driven peers provides our students with the resources necessary to succeed in high school and beyond.",1,18 Acheson Annex,University at Buffalo,Buffalo,14214,Grace O'Connor,716-829-3605,gdo2@buffalo.edu,"Academic Support/ Homework Help, College/ Career Readiness, Computers/ Technology, Leadership/ Mentorship, Science, Technology, Engineering, and Math (STEM), Academic Enrichment","Monday, Tuesday, Wednesday, Thursday, Friday","Middle School Prep (5th and 6th graders): 5-Week Summer Program, Monday through Friday, 8:30am-4:00pm

High School Prep (7th graders): 14 month program: 6-Week Summer Session, Monday through Friday, 8:30am-4:30pm.  School year: Tuesdays and Thursdays, 4:30-6:30 and Saturdays 8:30am-3:00pm.  ","School Year, Summer","Students must be in 5th, 6th, or 7th grade.  Student must be maintaining a ""B"" average or higher in school.  Household income cannot exceed $60,000.",Middle School Prep: 125.  High School Prep: 50,"5th, 6th, 7th",Not Applicable,"Middle School Prep: $150 
High School Prep: $300

These payments are not all due at once. We are more than happy to make payment arrangements as needed. The cost should not prevent an eligible student from applying. ",We do not provide transportation,Middle School Prep: Breakfast and lunch are provided.,
Lt. Col. Matt Urban Human Services of WNY,1081 Broadway St. ,,Buffalo,14212,www.urbanctr.org,Alissa Venturini,716-893-7222 ex.401,aventurini@urbanctr.org,21st CCLC @ #31,21st Century program that includes academic skill building and enrichment activities for grades 4-8. A dinner is provided through Child and Adult Care Food Program.,1 Location,212 Stanton St.,,Buffalo,14212,Matthew Parish,716-816-3780,mparish@urbanctr.org,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Juvenile Diversion (Crime Intervention), Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Monday, Tuesday, Wednesday, Thursday, Friday","Monday: 3:00pm - 6:00pm
Tuesday: 3:00pm - 6:00pm
Wednesday: 3:00pm - 6:00pm
Thursday: 3:00pm - 6:00pm
Friday: 3:00pm - 6:00pm",School Year,"Children at School 31, Grades 4-8",200,"4th, 5th, 6th, 7th, 8th",School-Aged Child Care (SACC),None,Home from the program,Dinner,
Valley Community Association Inc.,93 Leddy Street,,Buffalo,14210,www.thevalleycenter.com,Lori Overdorf,716-823-4707,loverdorf@thevalleycenter.com,"""Striving For Excellence"" Youth Program","The Valley Community Association’s “Striving For Excellence” Youth Program meets the needs of the youth that reside in the Buffalo River Community.  The activities and programs that comprise the VCA’s program improve student achievement and learning by offering a comprehensive, structured, schedule based program that includes not only academic remediation but also academic enrichment activities; a broad array of additional services, programs and activities; and family services. The program meets the diverse needs of all students by offering a variety of hands-on, project based, high quality, fun activities that meet student’s different learning styles.  Activities are based on NYS Learning Standards and include homework help, physical education, art classes, STEM programming, Boy and Girl Scouts, family events, literacy programming, field trips, and more for youth in grades K-8.  ",1,93 Leddy Street,,Buffalo,14210,Lori Overdorf,716-823-4707,loverdorf@thevalleycenter.com,"Academic Support/ Homework Help, Arts (Visual, Music, Dance, Theater), Computers/ Technology, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM)","Monday, Tuesday, Wednesday, Thursday, Friday",Monday - Friday: 2:30pm-5:15pm,School Year,"Residents of the Buffalo River Community, students in grades K-8",200,"Kindergarten, 1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th",Day Care,Participants are required to be members of the Valley Community Association at a cost of $10 per child or $25 per family per year.,BPS provides transportation to our site,Snack,
Young Audiences,1 Lafayette Square,,Buffalo,14203,www.yawny.org,Nancy Sterman,7168810917,nancy@yawny.org,Curators of Culture,"Curators of Culture is a free afterschool and summer camp program open to all teens in Erie County. Professional artists, library resources, and staff and cultural organizations located in the city limits will bring this experience to life. These activity-based workshops include visits with local cultural organizations including The Albright Knox Art Gallery, Shea’s Performing Arts Center, Buffalo Canalside, and Western New York Book Arts Center.",2,1 Lafayette Square,,Buffalo,14203,Aitina Fareed Cooke,716881-0917,education@yawny.org,"Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Juvenile Diversion (Crime Intervention), Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Tuesday, Friday",10am-4pm,Summer,12-17 year of age Erie County,20,"7th, 8th, 9th, 10th, 11th, 12th",,FREE!!!!!!!!!!!!!!!!,We do not provide transportation,"Breakfast, Lunch, Snack",It is an incredible program that introduces area teens to professional artists in a caring and safe environment
Young Audiences,1 Lafayette Square,,Buffalo,14203,www.yawny.org,Nancy Sterman,7168810917,nancy@yawny.org,Curators of Culture,"Curators of Culture is a free afterschool and summer camp program open to all teens in Erie County. Professional artists, library resources, and staff and cultural organizations located in the city limits will bring this experience to life. These activity-based workshops include visits with local cultural organizations including The Albright Knox Art Gallery, Shea’s Performing Arts Center, Buffalo Canalside, and Western New York Book Arts Center.",1,214 Grant St. ,,Buffalo,14212,Aitina Fareed Cooke,716881-0917,education@yawny.org,"Arts (Visual, Music, Dance, Theater), College/ Career Readiness, Community Service/ Service Learning, Computers/ Technology, English Language Learners (ELL), Health/ Nutrition, Juvenile Diversion (Crime Intervention), Leadership/ Mentorship, Sports/ Recreation/ Fitness, Science, Technology, Engineering, and Math (STEM), Mental Health/ Social Development","Tuesday, Friday",10am-4pm,Summer,12-17 year of age Erie County,20,"7th, 8th, 9th, 10th, 11th, 12th",,FREE!!!!!!!!!!!!!!!!,We do not provide transportation,"Breakfast, Lunch, Snack",It is an incredible program that introduces area teens to professional artists in a caring and safe environment
